Driver,Team,Livery,Color
HAM,MER,#c6c6c6,#00c0bf
RUS,MER,#c6c6c6,#00c0bf
VER,RBR,#121f45,#000099
PER,RBR,#121f45,#000099
LEC,FER,#a6051a,#e6194b
SAI,FER,#a6051a,#e6194b
NOR,MCL,#ff8000,#f58231
RIC,MCL,#ff8000,#f58231
OCO,APN,#fd4bc7,#ff0783
ALO,APN,#fd4bc7,#ff0783
GAS,APT,#00293f,#00293f
TSU,APT,#00293f,#00293f
STR,AMR,#00352f,#3cb44b
VET,AMR,#00352f,#3cb44b
ALB,WIL,#041e42,#4363d8
LAT,WIL,#041e42,#4363d8
BOT,ARR,#981e32,#800000
ZHO,ARR,#981e32,#800000
MSC,HAA,#ffffff,#ffffff
MAG,HAA,#ffffff,#ffffff
GIO,ARR,#981e32,#800000
RAI,ARR,#981e32,#800000
MAZ,HAA,#ffffff,#ffffff
HUL,AMR,#00352f,#3cb44b
